uuid;name;lastName;gender;email;phone;avatar
dbafd308-77ff-459e-823e-52f9b48c92a0;Nataniel;Braga;Gender Nonconforming;Isaac62@bol.com.br;(33) 44438-4774;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/774.jpg
08040a01-f7b9-4bdc-a05f-9c0a6d63499e;Anthony;Nogueira;Trans Female;Elisa_Oliveira62@live.com;(18) 9114-2168;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/812.jpg
936623b0-fee4-4aae-974e-e7e8d9356734;Isaac;Batista;Asexual;Roberto_Moreira90@hotmail.com;(69) 38521-7093;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1211.jpg
19528572-096b-43c4-bbc3-02e50f1161f1;Bryan;Braga;Female to male trans man;Raul.Oliveira@hotmail.com;+55 (45) 8395-5037;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/531.jpg
d15de38d-c91d-42b9-a2e1-b014d585312e;Maria Clara;Franco;T* man;Ricardo5@hotmail.com;(41) 9676-4920;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/431.jpg
8a883aa4-0d0e-4619-8638-a7196311a42f;Warley;Moreira;Male to female transgender woman;JooMiguel_Pereira16@gmail.com;(48) 78990-3044;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1168.jpg
d765adb6-0016-4bfc-92ee-33235a71150b;Alícia;Carvalho;Cisgender Woman;Ricardo.Barros46@gmail.com;(99) 7306-9743;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/714.jpg
ed8c793b-c271-4df0-9e74-510926da399b;Leonardo;Batista;M2F;Mariana_Macedo65@gmail.com;(88) 3132-1243;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1133.jpg
a2b56b2a-1321-4cec-a63d-05e8024e4838;Cauã;Nogueira;Cis Female;Melissa_Macedo@live.com;+55 (68) 8645-8562;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/99.jpg
23d5f30f-9675-420e-8dd2-6d099ff2d793;Pedro Henrique;Melo;Gender Variant;Miguel_Moraes@live.com;+55 (54) 1095-6173;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/172.jpg
e5d9f27a-8eb9-4014-8c2e-f82252cd0649;Isabella;Costa;Female to male transgender man;Talita.Batista14@bol.com.br;+55 (41) 8583-4307;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/170.jpg
6aae29f8-5144-418a-aa8d-3655b06a21eb;Rafael;Santos;Two-spirit person;Joaquim.Franco@live.com;(97) 6180-5569;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/651.jpg
38c9227e-9abd-4131-88c5-a5ff0bc838d8;Miguel;Barros;Trans Man;JooMiguel49@bol.com.br;+55 (24) 0394-9098;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/549.jpg
a7c58592-af51-4e30-aed4-711da42bd63b;Ana Laura;Pereira;Transgender Person;Hlio.Santos34@live.com;+55 (32) 3902-4561;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/224.jpg
7eeefc0b-e9e7-4137-9de7-14c086a14995;Ana Laura;Moreira;Transexual;Tho40@gmail.com;(59) 10333-4916;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1161.jpg
b4898263-e78c-4318-8bd9-b200127a667e;Joana;Carvalho;Other;Mrcia_Macedo27@hotmail.com;(20) 12251-5259;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/733.jpg
971aaa9f-7f0a-489d-810f-eb5485decaa9;João;Carvalho;Intersex woman;Fabrcio.Reis@live.com;+55 (21) 2348-6205;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1024.jpg
c79cd773-9713-4abe-bea0-d06285687933;Júlio César;Moraes;Trans Male;Klber.Nogueira@gmail.com;(47) 3572-8516;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/126.jpg
b1d27e6c-bb9f-49ec-b151-559b2d567e2f;Lorenzo;Costa;Polygender;JooMiguel.Barros@yahoo.com;(59) 50508-6802;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1114.jpg
ca21bff2-25aa-427d-919d-d3c71858ddea;Mércia;Martins;Two* person;Silas_Nogueira@gmail.com;+55 (17) 7037-0364;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/739.jpg
69c6a77b-d994-4558-ab8c-2666d25c17c4;Lucas;Barros;Gender Nonconforming;Paulo46@bol.com.br;(15) 9473-8045;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/652.jpg
9f7238c7-ffd7-449d-9153-8ced637f44ec;Benício;Macedo;Cis Male;Isadora.Silva44@hotmail.com;+55 (01) 2179-5516;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/546.jpg
2ec08a53-64c6-44c7-aaae-26eb9a16c50d;Márcia;Albuquerque;Cis Female;Lvia.Silva30@hotmail.com;(58) 75188-3068;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/46.jpg
f669bb2d-46e0-4d58-a008-a2f75cb0ebb5;Ana Luiza;Xavier;Male to Female;Deneval.Moraes@bol.com.br;(56) 5802-7957;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/204.jpg
5934db85-c5e5-4bcb-8544-7c79b60cad37;Gustavo;Oliveira;Male to female trans woman;Jlio38@bol.com.br;(27) 34091-5421;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/680.jpg
f81f84ec-5137-44b8-9a24-0a25c2b8ad13;Lorraine;Silva;Transmasculine;Salvador30@live.com;(74) 8281-0590;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/712.jpg
f8f56d63-a831-461a-bbb9-f95d510c2bcb;Joaquim;Carvalho;Trans*Male;Mrcia70@hotmail.com;+55 (11) 0004-9903;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/568.jpg
5d0a49c6-b1a6-4641-a611-7221e483c4ab;Talita;Braga;Intersex person;Larissa18@hotmail.com;+55 (35) 9273-1374;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/350.jpg
27f6ce5f-9aed-409a-bcd7-4db45b1ab4cb;João;Franco;Transmasculine;Frederico44@live.com;(63) 2232-2088;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/109.jpg
2b8ee10c-db14-43e9-81ee-b42f5b215bf2;Emanuelly;Costa;Gender Fluid;Meire.Moreira@yahoo.com;(27) 7130-0533;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/424.jpg
c60c2230-d920-4044-a459-01844e3852d8;Guilherme;Braga;T* woman;Gustavo_Moreira45@gmail.com;(92) 07147-2267;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/599.jpg
